idx,observationId,sourceId,runId,fieldx,fieldy,posx,posy,parallactic,airmass,zenith,seed,chip,intensity,temperature
39,103254,5620821642993567872,39,0.021084193140268326,-0.02240114100277424,0.2174317091703415,-0.23112528026103973,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,514862,4069.193359375
40,103254,5620916372792986624,40,0.021211279556155205,-0.019672365859150887,0.2188163846731186,-0.20300474762916565,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,691985,4939.490234375
41,103254,5621326250113802112,41,0.02097110077738762,0.02171616442501545,0.21648915112018585,0.22392074763774872,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,493977,4272.4658203125
42,103254,5620915754317758848,42,0.021567143499851227,-0.02102142944931984,0.2223731130361557,-0.21707075834274292,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,639280,4441.64501953125
43,103254,5430227830668482304,43,-0.02271103858947754,0.019679393619298935,-0.23426802456378937,0.20284678041934967,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,3762970,5201.8046875
44,103254,5621324738285376512,44,0.021291034296154976,0.01918772980570793,0.2198549211025238,0.19837677478790283,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,277751,6998.08056640625
45,103254,5428173702431648640,45,-0.01905822567641735,-0.01969929412007332,-0.19652606546878815,-0.20350518822669983,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,393428,6797.59521484375
46,103254,5621320477677809536,46,0.019321782514452934,0.01915728487074375,0.1994381994009018,0.1975708156824112,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,10784252,4273.5
47,103254,5621321886427025536,47,0.01891070418059826,0.0214083231985569,0.1949164718389511,0.2209959179162979,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,1882582,5357.41015625
48,103254,5620821677353288576,48,0.021168768405914307,-0.02202134020626545,0.21831828355789185,-0.22687317430973053,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,415998,9559.8818359375
49,103254,5428156861860485248,49,-0.022468268871307373,-0.019746897742152214,-0.23229381442070007,-0.203932985663414,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,279719,5990.00732421875
50,103254,5621512995289907840,50,0.022697484120726585,0.019815336912870407,0.23433531820774078,0.2044615000486374,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,10391415,5899.4765625
51,103254,5428172976578915328,51,-0.02001863718032837,-0.01967768929898739,-0.20649676024913788,-0.20328792929649353,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,792354,5054.77001953125
52,103254,5620917090052076544,52,0.02095440961420536,-0.01946789026260376,0.21609161794185638,-0.20061197876930237,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,10632963,4230.0
53,103254,5620919499529201920,53,0.022300152108073235,-0.019955165684223175,0.22983969748020172,-0.20549042522907257,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,619635,5765.720703125
54,103254,5430256379310395392,54,-0.021184805780649185,0.022453663870692253,-0.21831130981445312,0.23165960609912872,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,470294,7905.26416015625
55,103254,5621515297392308864,55,0.02266344428062439,0.022184859961271286,0.23353691399097443,0.22909697890281677,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,261721,6932.64501953125
56,103254,5430255387179538560,56,-0.022447606548666954,0.022456180304288864,-0.23147273063659668,0.2321261316537857,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,588947,4975.50341796875
57,103254,5428173702431645568,57,-0.018912164494395256,-0.019517850130796432,-0.19501082599163055,-0.20136485993862152,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,544041,8073.85546875
58,103254,5621324188529539584,58,0.02036946639418602,0.020040450617671013,0.21006089448928833,0.2070719599723816,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,1888796,5073.7265625
59,103254,5620633042390747520,59,0.020042676478624344,-0.021868977695703506,0.2067074477672577,-0.2261456698179245,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW0,3096797,4962.546875
60,103254,5621325665998270464,60,0.02178996428847313,0.021144162863492966,0.22484804689884186,0.21808864176273346,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,1129100,5308.07373046875
61,103254,5620825319485550592,61,0.02280610427260399,-0.021536873653531075,0.2352157086133957,-0.22163008153438568,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,624960,3469.0
62,103254,5428171125451294080,62,-0.01984124630689621,-0.021095873787999153,-0.20471623539924622,-0.2172652930021286,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,315626,7847.16455078125
