source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,chip,sdss_r_mag
3043237118110793344,119.19385662816148,-6.861796087656617,5372.33349609375,15.791315078735352,16.201745986938477,15.227117538452148,R44_SW1,15.751625061035156
3043143105568957184,119.15269307218891,-6.8994440835900575,,17.1309814453125,17.445701599121094,16.649791717529297,R44_SW1,17.10582160949707
3043189800451467904,119.22308811362154,-6.911042171549396,6211.0,15.301505088806152,15.580334663391113,14.852778434753418,R44_SW1,15.284453392028809
3043094387757810176,119.20410799502406,-6.989520548494026,5417.16357421875,13.455281257629395,13.876363754272461,12.89258861541748,R44_SW1,13.415128707885742
3043091364100833280,119.22309551469016,-7.00055481510602,,17.404163360595703,17.781007766723633,16.861732482910156,R44_SW1,17.367877960205078
3043091089222926720,119.2503547374331,-7.017839031721692,5360.0,16.32671356201172,16.7308292388916,15.765534400939941,R44_SW1,16.287525177001953
3043094353398074240,119.19155874030511,-6.990843825785383,,17.241140365600586,17.734399795532227,16.575578689575195,R44_SW1,17.197996139526367
3043094353398076672,119.18782778104806,-6.993778592857098,4883.4150390625,16.0161075592041,16.601844787597656,15.285842895507812,R44_SW1,15.980646133422852
3043091669040501888,119.24858126113256,-6.995702940767511,5515.66650390625,16.46721649169922,16.75585174560547,15.8175630569458,R44_SW1,16.429645538330078
3043094456476806912,119.16969307491571,-6.993808850577821,,17.5820369720459,18.056245803833008,16.942522048950195,R44_SW1,17.538558959960938
3043095276813065856,119.1477691460072,-6.968778481396802,,17.28805160522461,17.63027000427246,16.762493133544922,R44_SW1,17.255836486816406
3043096037024728960,119.19208311470824,-6.9093050932923425,4891.0,14.755671501159668,15.299260139465332,14.072379112243652,R44_SW1,14.714577674865723
3043094250318376960,119.17647399020768,-6.999149320227281,,17.949138641357422,18.281652450561523,17.397384643554688,R44_SW1,17.91552734375
3043094456476808832,119.16263290620962,-6.9935574333171315,,17.999710083007812,19.021617889404297,16.951108932495117,R44_SW1,18.17467498779297
3043094525196286080,119.15771690967543,-6.991306247988789,4923.41015625,14.802085876464844,15.357086181640625,14.105027198791504,R44_SW1,14.762236595153809
3043094520898806784,119.15250753260408,-6.979565616434732,,17.54294204711914,17.92186737060547,16.959333419799805,R44_SW1,17.503908157348633
3043094589618286720,119.18349179720843,-6.977298867193289,5250.0,16.68368148803711,17.059955596923828,16.086688995361328,R44_SW1,16.644062042236328
3043095040592336000,119.19226999456404,-6.95591989596963,5531.0,16.949186325073242,17.294328689575195,16.426658630371094,R44_SW1,16.91697883605957
3043095487268936320,119.15789457726574,-6.939027771365165,,17.519929885864258,17.959068298339844,16.90842628479004,R44_SW1,17.477293014526367
3043095865226056448,119.16464241331963,-6.938686259239695,5528.75,15.027579307556152,15.394353866577148,14.498867988586426,R44_SW1,14.993067741394043
3043095418549464192,119.17275842344242,-6.958371710325039,5317.0,15.458847999572754,15.870944023132324,14.881322860717773,R44_SW1,15.418415069580078
